aÃ±o,mun,cvegeo,sexo,pob
2016,Aguascalientes,01001,Hombres,425135
2017,Aguascalientes,01001,Hombres,430305
2018,Aguascalientes,01001,Hombres,435311
2016,Asientos,01002,Hombres,24768
2017,Asientos,01002,Hombres,25076
2018,Asientos,01002,Hombres,25379
2016,Calvillo,01003,Hombres,28385
2017,Calvillo,01003,Hombres,28687
2018,Calvillo,01003,Hombres,28985
2016,Cosío,01004,Hombres,8036
2017,Cosío,01004,Hombres,8137
2018,Cosío,01004,Hombres,8238
2016,Jesús María,01005,Hombres,55814
2017,Jesús María,01005,Hombres,56642
2018,Jesús María,01005,Hombres,57438
2016,Pabellón de Arteaga,01006,Hombres,21771
2017,Pabellón de Arteaga,01006,Hombres,22035
2018,Pabellón de Arteaga,01006,Hombres,22302
2016,Rincón de Romos,01007,Hombres,26222
2017,Rincón de Romos,01007,Hombres,26544
2018,Rincón de Romos,01007,Hombres,26864
2016,San José de Gracia,01008,Hombres,4468
2017,San José de Gracia,01008,Hombres,4528
2018,San José de Gracia,01008,Hombres,4588
2016,Tepezalá,01009,Hombres,10651
2017,Tepezalá,01009,Hombres,10790
2018,Tepezalá,01009,Hombres,10927
2016,El Llano,01010,Hombres,10446
2017,El Llano,01010,Hombres,10565
2018,El Llano,01010,Hombres,10682
2016,San Francisco de los Romo,01011,Hombres,20301
2017,San Francisco de los Romo,01011,Hombres,20629
2018,San Francisco de los Romo,01011,Hombres,20943
2016,Ensenada,02001,Hombres,264849
2017,Ensenada,02001,Hombres,268497
2018,Ensenada,02001,Hombres,272046
2016,Mexicali,02002,Hombres,522555
2017,Mexicali,02002,Hombres,528857
2018,Mexicali,02002,Hombres,535044
2016,Tecate,02003,Hombres,58887
2017,Tecate,02003,Hombres,59574
2018,Tecate,02003,Hombres,60249
2016,Tijuana,02004,Hombres,872663
2017,Tijuana,02004,Hombres,884648
2018,Tijuana,02004,Hombres,896456
2016,Playas de Rosarito,02005,Hombres,54403
2017,Playas de Rosarito,02005,Hombres,55271
2018,Playas de Rosarito,02005,Hombres,56087
2016,Comondú,03001,Hombres,41905
2017,Comondú,03001,Hombres,42837
2018,Comondú,03001,Hombres,43793
2016,Mulegé,03002,Hombres,35170
2017,Mulegé,03002,Hombres,36001
2018,Mulegé,03002,Hombres,36860
2016,La Paz,03003,Hombres,148804
2017,La Paz,03003,Hombres,152497
2018,La Paz,03003,Hombres,156237
2016,Los Cabos,03008,Hombres,161736
2017,Los Cabos,03008,Hombres,167086
2018,Los Cabos,03008,Hombres,172350
2016,Loreto,03009,Hombres,11648
2017,Loreto,03009,Hombres,11990
2018,Loreto,03009,Hombres,12320
2016,Calkiní,04001,Hombres,28683
2017,Calkiní,04001,Hombres,29059
2018,Calkiní,04001,Hombres,29437
2016,Campeche,04002,Hombres,140821
2017,Campeche,04002,Hombres,142813
2018,Campeche,04002,Hombres,144761
2016,Carmen,04003,Hombres,124685
2017,Carmen,04003,Hombres,126585
2018,Carmen,04003,Hombres,128445
2016,Champotón,04004,Hombres,46428
2017,Champotón,04004,Hombres,47068
2018,Champotón,04004,Hombres,47706
2016,Hecelchakán,04005,Hombres,15313
2017,Hecelchakán,04005,Hombres,15502
2018,Hecelchakán,04005,Hombres,15693
2016,Hopelchén,04006,Hombres,21189
2017,Hopelchén,04006,Hombres,21468
2018,Hopelchén,04006,Hombres,21752
2016,Palizada,04007,Hombres,4422
2017,Palizada,04007,Hombres,4460
2018,Palizada,04007,Hombres,4500
2016,Tenabo,04008,Hombres,5481
2017,Tenabo,04008,Hombres,5543
2018,Tenabo,04008,Hombres,5605
2016,Escárcega,04009,Hombres,29943
2017,Escárcega,04009,Hombres,30399
2018,Escárcega,04009,Hombres,30858
2016,Calakmul,04010,Hombres,15273
2017,Calakmul,04010,Hombres,15521
2018,Calakmul,04010,Hombres,15774
2016,Candelaria,04011,Hombres,23369
2017,Candelaria,04011,Hombres,23701
2018,Candelaria,04011,Hombres,24035
2016,Abasolo,05001,Hombres,568
2017,Abasolo,05001,Hombres,571
2018,Abasolo,05001,Hombres,574
2016,Acuña,05002,Hombres,73495
2017,Acuña,05002,Hombres,74390
2018,Acuña,05002,Hombres,75300
2016,Allende,05003,Hombres,12224
2017,Allende,05003,Hombres,12369
2018,Allende,05003,Hombres,12510
2016,Arteaga,05004,Hombres,12658
2017,Arteaga,05004,Hombres,12787
2018,Arteaga,05004,Hombres,12911
2016,Candela,05005,Hombres,974
2017,Candela,05005,Hombres,979
2018,Candela,05005,Hombres,984
2016,Castaños,05006,Hombres,13992
2017,Castaños,05006,Hombres,14136
2018,Castaños,05006,Hombres,14278
2016,Cuatro Ciénegas,05007,Hombres,6918
2017,Cuatro Ciénegas,05007,Hombres,6975
2018,Cuatro Ciénegas,05007,Hombres,7033
2016,Escobedo,05008,Hombres,1553
2017,Escobedo,05008,Hombres,1564
2018,Escobedo,05008,Hombres,1576
2016,Francisco I. Madero,05009,Hombres,29801
2017,Francisco I. Madero,05009,Hombres,30118
2018,Francisco I. Madero,05009,Hombres,30437
2016,Frontera,05010,Hombres,40207
2017,Frontera,05010,Hombres,40619
2018,Frontera,05010,Hombres,41032
2016,General Cepeda,05011,Hombres,6249
2017,General Cepeda,05011,Hombres,6283
2018,General Cepeda,05011,Hombres,6320
2016,Guerrero,05012,Hombres,1166
2017,Guerrero,05012,Hombres,1175
2018,Guerrero,05012,Hombres,1183
2016,Hidalgo,05013,Hombres,1046
2017,Hidalgo,05013,Hombres,1059
2018,Hidalgo,05013,Hombres,1073
2016,Jiménez,05014,Hombres,5206
2017,Jiménez,05014,Hombres,5244
2018,Jiménez,05014,Hombres,5285
2016,Juárez,05015,Hombres,929
2017,Juárez,05015,Hombres,939
2018,Juárez,05015,Hombres,948
2016,Lamadrid,05016,Hombres,984
2017,Lamadrid,05016,Hombres,988
2018,Lamadrid,05016,Hombres,992
2016,Matamoros,05017,Hombres,57021
2017,Matamoros,05017,Hombres,57620
2018,Matamoros,05017,Hombres,58229
2016,Monclova,05018,Hombres,115532
2017,Monclova,05018,Hombres,116691
2018,Monclova,05018,Hombres,117832
2016,Morelos,05019,Hombres,4463
2017,Morelos,05019,Hombres,4513
2018,Morelos,05019,Hombres,4561
2016,Múzquiz,05020,Hombres,35539
2017,Múzquiz,05020,Hombres,35863
2018,Múzquiz,05020,Hombres,36190
2016,Nadadores,05021,Hombres,3398
2017,Nadadores,05021,Hombres,3425
2018,Nadadores,05021,Hombres,3451
2016,Nava,05022,Hombres,15223
2017,Nava,05022,Hombres,15391
2018,Nava,05022,Hombres,15563
2016,Ocampo,05023,Hombres,5990
2017,Ocampo,05023,Hombres,6046
2018,Ocampo,05023,Hombres,6103
2016,Parras,05024,Hombres,23971
2017,Parras,05024,Hombres,24156
2018,Parras,05024,Hombres,24348
2016,Piedras Negras,05025,Hombres,81567
2017,Piedras Negras,05025,Hombres,82452
2018,Piedras Negras,05025,Hombres,83350
2016,Progreso,05026,Hombres,1845
2017,Progreso,05026,Hombres,1858
2018,Progreso,05026,Hombres,1872
2016,Ramos Arizpe,05027,Hombres,45411
2017,Ramos Arizpe,05027,Hombres,46172
2018,Ramos Arizpe,05027,Hombres,46882
2016,Sabinas,05028,Hombres,33543
2017,Sabinas,05028,Hombres,33939
2018,Sabinas,05028,Hombres,34319
2016,Sacramento,05029,Hombres,1274
2017,Sacramento,05029,Hombres,1285
2018,Sacramento,05029,Hombres,1296
2016,Saltillo,05030,Hombres,394336
2017,Saltillo,05030,Hombres,399136
2018,Saltillo,05030,Hombres,403836
2016,San Buenaventura,05031,Hombres,12130
2017,San Buenaventura,05031,Hombres,12258
2018,San Buenaventura,05031,Hombres,12378
2016,San Juan de Sabinas,05032,Hombres,21498
2017,San Juan de Sabinas,05032,Hombres,21661
2018,San Juan de Sabinas,05032,Hombres,21826
2016,San Pedro,05033,Hombres,55262
2017,San Pedro,05033,Hombres,55802
2018,San Pedro,05033,Hombres,56341
2016,Sierra Mojada,05034,Hombres,3756
2017,Sierra Mojada,05034,Hombres,3808
2018,Sierra Mojada,05034,Hombres,3858
2016,Torreón,05035,Hombres,341518
2017,Torreón,05035,Hombres,345532
2018,Torreón,05035,Hombres,349457
2016,Viesca,05036,Hombres,11544
2017,Viesca,05036,Hombres,11660
2018,Viesca,05036,Hombres,11777
2016,Villa Unión,05037,Hombres,3334
2017,Villa Unión,05037,Hombres,3357
2018,Villa Unión,05037,Hombres,3382
2016,Zaragoza,05038,Hombres,6691
2017,Zaragoza,05038,Hombres,6744
2018,Zaragoza,05038,Hombres,6799
2016,Armería,06001,Hombres,16175
2017,Armería,06001,Hombres,16411
2018,Armería,06001,Hombres,16642
2016,Colima,06002,Hombres,79125
2017,Colima,06002,Hombres,80218
2018,Colima,06002,Hombres,81290
2016,Comala,06003,Hombres,11354
2017,Comala,06003,Hombres,11488
2018,Comala,06003,Hombres,11623
2016,Coquimatlán,06004,Hombres,10729
2017,Coquimatlán,06004,Hombres,10880
2018,Coquimatlán,06004,Hombres,11029
2016,Cuauhtémoc,06005,Hombres,14379
2017,Cuauhtémoc,06005,Hombres,14533
2018,Cuauhtémoc,06005,Hombres,14689
2016,Ixtlahuacán,06006,Hombres,2961
2017,Ixtlahuacán,06006,Hombres,2997
2018,Ixtlahuacán,06006,Hombres,3031
2016,Manzanillo,06007,Hombres,91913
2017,Manzanillo,06007,Hombres,93440
2018,Manzanillo,06007,Hombres,94932
2016,Minatitlán,06008,Hombres,4551
2017,Minatitlán,06008,Hombres,4607
2018,Minatitlán,06008,Hombres,4663
2016,Tecomán,06009,Hombres,63677
2017,Tecomán,06009,Hombres,64674
2018,Tecomán,06009,Hombres,65659
2016,Villa de Álvarez,06010,Hombres,67688
2017,Villa de Álvarez,06010,Hombres,68954
2018,Villa de Álvarez,06010,Hombres,70178
2016,Acacoyagua,07001,Hombres,9382
2017,Acacoyagua,07001,Hombres,9483
2018,Acacoyagua,07001,Hombres,9580
2016,Acala,07002,Hombres,15922
2017,Acala,07002,Hombres,16074
2018,Acala,07002,Hombres,16220
2016,Acapetahua,07003,Hombres,15572
2017,Acapetahua,07003,Hombres,15732
2018,Acapetahua,07003,Hombres,15881
2016,Altamirano,07004,Hombres,17090
2017,Altamirano,07004,Hombres,17336
2018,Altamirano,07004,Hombres,17577
2016,Amatán,07005,Hombres,11665
2017,Amatán,07005,Hombres,11784
2018,Amatán,07005,Hombres,11906
2016,Amatenango de la Frontera,07006,Hombres,16392
2017,Amatenango de la Frontera,07006,Hombres,16595
2018,Amatenango de la Frontera,07006,Hombres,16791
2016,Amatenango del Valle,07007,Hombres,4384
2017,Amatenango del Valle,07007,Hombres,4429
2018,Amatenango del Valle,07007,Hombres,4476
2016,Angel Albino Corzo,07008,Hombres,13432
2017,Angel Albino Corzo,07008,Hombres,13516
2018,Angel Albino Corzo,07008,Hombres,13615
2016,Arriaga,07009,Hombres,20683
2017,Arriaga,07009,Hombres,20816
2018,Arriaga,07009,Hombres,20947
2016,Bejucal de Ocampo,07010,Hombres,4239
2017,Bejucal de Ocampo,07010,Hombres,4279
2018,Bejucal de Ocampo,07010,Hombres,4319
2016,Bella Vista,07011,Hombres,10368
2017,Bella Vista,07011,Hombres,10470
2018,Bella Vista,07011,Hombres,10573
2016,Berriozábal,07012,Hombres,25192
2017,Berriozábal,07012,Hombres,25561
2018,Berriozábal,07012,Hombres,25908
2016,Bochil,07013,Hombres,16957
2017,Bochil,07013,Hombres,17176
2018,Bochil,07013,Hombres,17394
2016,El Bosque,07014,Hombres,10670
2017,El Bosque,07014,Hombres,10846
2018,El Bosque,07014,Hombres,11017
2016,Cacahoatán,07015,Hombres,23159
2017,Cacahoatán,07015,Hombres,23376
2018,Cacahoatán,07015,Hombres,23594
2016,Catazajá,07016,Hombres,9412
2017,Catazajá,07016,Hombres,9470
2018,Catazajá,07016,Hombres,9525
2016,Cintalapa,07017,Hombres,42024
2017,Cintalapa,07017,Hombres,42368
2018,Cintalapa,07017,Hombres,42712
2016,Coapilla,07018,Hombres,4562
2017,Coapilla,07018,Hombres,4609
2018,Coapilla,07018,Hombres,4657
2016,Comitán de Domínguez,07019,Hombres,77293
2017,Comitán de Domínguez,07019,Hombres,78328
2018,Comitán de Domínguez,07019,Hombres,79310
2016,La Concordia,07020,Hombres,24352
2017,La Concordia,07020,Hombres,24608
2018,La Concordia,07020,Hombres,24860
2016,Copainalá,07021,Hombres,11074
2017,Copainalá,07021,Hombres,11169
2018,Copainalá,07021,Hombres,11267
2016,Chalchihuitán,07022,Hombres,7265
2017,Chalchihuitán,07022,Hombres,7345
2018,Chalchihuitán,07022,Hombres,7433
2016,Chamula,07023,Hombres,39048
2017,Chamula,07023,Hombres,39604
2018,Chamula,07023,Hombres,40178
2016,Chanal,07024,Hombres,5842
2017,Chanal,07024,Hombres,5900
2018,Chanal,07024,Hombres,5960
2016,Chapultenango,07025,Hombres,3879
2017,Chapultenango,07025,Hombres,3914
2018,Chapultenango,07025,Hombres,3951
2016,Chenalhó,07026,Hombres,19548
2017,Chenalhó,07026,Hombres,19800
2018,Chenalhó,07026,Hombres,20058
2016,Chiapa de Corzo,07027,Hombres,49492
2017,Chiapa de Corzo,07027,Hombres,50116
2018,Chiapa de Corzo,07027,Hombres,50699
2016,Chiapilla,07028,Hombres,3015
2017,Chiapilla,07028,Hombres,3038
2018,Chiapilla,07028,Hombres,3060
2016,Chicoasén,07029,Hombres,2602
2017,Chicoasén,07029,Hombres,2620
2018,Chicoasén,07029,Hombres,2639
2016,Chicomuselo,07030,Hombres,17411
2017,Chicomuselo,07030,Hombres,17606
2018,Chicomuselo,07030,Hombres,17797
2016,Chilón,07031,Hombres,61015
2017,Chilón,07031,Hombres,61792
2018,Chilón,07031,Hombres,62585
2016,Escuintla,07032,Hombres,16152
2017,Escuintla,07032,Hombres,16308
2018,Escuintla,07032,Hombres,16463
2016,Francisco León,07033,Hombres,3851
2017,Francisco León,07033,Hombres,3895
2018,Francisco León,07033,Hombres,3940
2016,Frontera Comalapa,07034,Hombres,37530
2017,Frontera Comalapa,07034,Hombres,38035
2018,Frontera Comalapa,07034,Hombres,38512
2016,Frontera Hidalgo,07035,Hombres,7009
2017,Frontera Hidalgo,07035,Hombres,7089
2018,Frontera Hidalgo,07035,Hombres,7165
2016,La Grandeza,07036,Hombres,3864
2017,La Grandeza,07036,Hombres,3898
2018,La Grandeza,07036,Hombres,3933
2016,Huehuetán,07037,Hombres,18092
2017,Huehuetán,07037,Hombres,18282
2018,Huehuetán,07037,Hombres,18464
2016,Huixtán,07038,Hombres,11624
2017,Huixtán,07038,Hombres,11748
2018,Huixtán,07038,Hombres,11874
2016,Huitiupán,07039,Hombres,12529
2017,Huitiupán,07039,Hombres,12674
2018,Huitiupán,07039,Hombres,12820
2016,Huixtla,07040,Hombres,27035
2017,Huixtla,07040,Hombres,27288
2018,Huixtla,07040,Hombres,27537
2016,La Independencia,07041,Hombres,22794
2017,La Independencia,07041,Hombres,23077
2018,La Independencia,07041,Hombres,23351
2016,Ixhuatán,07042,Hombres,5750
2017,Ixhuatán,07042,Hombres,5826
2018,Ixhuatán,07042,Hombres,5900
2016,Ixtacomitán,07043,Hombres,5462
2017,Ixtacomitán,07043,Hombres,5515
2018,Ixtacomitán,07043,Hombres,5569
2016,Ixtapa,07044,Hombres,13507
2017,Ixtapa,07044,Hombres,13681
2018,Ixtapa,07044,Hombres,13854
2016,Ixtapangajoya,07045,Hombres,3085
2017,Ixtapangajoya,07045,Hombres,3119
2018,Ixtapangajoya,07045,Hombres,3153
2016,Jiquipilas,07046,Hombres,19905
2017,Jiquipilas,07046,Hombres,20027
2018,Jiquipilas,07046,Hombres,20146
2016,Jitotol,07047,Hombres,10699
2017,Jitotol,07047,Hombres,10841
2018,Jitotol,07047,Hombres,10982
2016,Juárez,07048,Hombres,11174
2017,Juárez,07048,Hombres,11257
2018,Juárez,07048,Hombres,11339
2016,Larráinzar,07049,Hombres,11053
2017,Larráinzar,07049,Hombres,11191
2018,Larráinzar,07049,Hombres,11332
2016,La Libertad,07050,Hombres,2478
2017,La Libertad,07050,Hombres,2487
2018,La Libertad,07050,Hombres,2498
2016,Mapastepec,07051,Hombres,24456
2017,Mapastepec,07051,Hombres,24736
2018,Mapastepec,07051,Hombres,25002
2016,Las Margaritas,07052,Hombres,61010
2017,Las Margaritas,07052,Hombres,61822
2018,Las Margaritas,07052,Hombres,62631
2016,Mazapa de Madero,07053,Hombres,4202
2017,Mazapa de Madero,07053,Hombres,4238
2018,Mazapa de Madero,07053,Hombres,4273
2016,Mazatán,07054,Hombres,14342
2017,Mazatán,07054,Hombres,14467
2018,Mazatán,07054,Hombres,14587
2016,Metapa,07055,Hombres,2608
2017,Metapa,07055,Hombres,2631
2018,Metapa,07055,Hombres,2654
2016,Mitontic,07056,Hombres,6199
2017,Mitontic,07056,Hombres,6287
2018,Mitontic,07056,Hombres,6376
2016,Motozintla,07057,Hombres,38425
2017,Motozintla,07057,Hombres,38898
2018,Motozintla,07057,Hombres,39357
2016,Nicolás Ruíz,07058,Hombres,2382
2017,Nicolás Ruíz,07058,Hombres,2403
2018,Nicolás Ruíz,07058,Hombres,2425
2016,Ocosingo,07059,Hombres,110387
2017,Ocosingo,07059,Hombres,111854
2018,Ocosingo,07059,Hombres,113327
2016,Ocotepec,07060,Hombres,6270
2017,Ocotepec,07060,Hombres,6329
2018,Ocotepec,07060,Hombres,6391
2016,Ocozocoautla de Espinosa,07061,Hombres,45082
2017,Ocozocoautla de Espinosa,07061,Hombres,45627
2018,Ocozocoautla de Espinosa,07061,Hombres,46162
2016,Ostuacán,07062,Hombres,9200
2017,Ostuacán,07062,Hombres,9283
2018,Ostuacán,07062,Hombres,9367
2016,Osumacinta,07063,Hombres,2047
2017,Osumacinta,07063,Hombres,2069
2018,Osumacinta,07063,Hombres,2091
2016,Oxchuc,07064,Hombres,22786
2017,Oxchuc,07064,Hombres,22976
2018,Oxchuc,07064,Hombres,23185
2016,Palenque,07065,Hombres,61197
2017,Palenque,07065,Hombres,61959
2018,Palenque,07065,Hombres,62704
2016,Pantelhó,07066,Hombres,10804
2017,Pantelhó,07066,Hombres,10915
2018,Pantelhó,07066,Hombres,11034
2016,Pantepec,07067,Hombres,5842
2017,Pantepec,07067,Hombres,5904
2018,Pantepec,07067,Hombres,5967
2016,Pichucalco,07068,Hombres,15685
2017,Pichucalco,07068,Hombres,15806
2018,Pichucalco,07068,Hombres,15930
2016,Pijijiapan,07069,Hombres,26818
2017,Pijijiapan,07069,Hombres,27037
2018,Pijijiapan,07069,Hombres,27251
2016,El Porvenir,07070,Hombres,6840
2017,El Porvenir,07070,Hombres,6890
2018,El Porvenir,07070,Hombres,6944
2016,Villa Comaltitlán,07071,Hombres,14825
2017,Villa Comaltitlán,07071,Hombres,14947
2018,Villa Comaltitlán,07071,Hombres,15071
2016,Pueblo Nuevo Solistahuacán,07072,Hombres,16575
2017,Pueblo Nuevo Solistahuacán,07072,Hombres,16785
2018,Pueblo Nuevo Solistahuacán,07072,Hombres,17000
2016,Rayón,07073,Hombres,4909
2017,Rayón,07073,Hombres,4964
2018,Rayón,07073,Hombres,5019
2016,Reforma,07074,Hombres,22717
2017,Reforma,07074,Hombres,23006
2018,Reforma,07074,Hombres,23281
2016,Las Rosas,07075,Hombres,13401
2017,Las Rosas,07075,Hombres,13521
2018,Las Rosas,07075,Hombres,13646
2016,Sabanilla,07076,Hombres,13593
2017,Sabanilla,07076,Hombres,13738
2018,Sabanilla,07076,Hombres,13887
2016,Salto de Agua,07077,Hombres,30617
2017,Salto de Agua,07077,Hombres,30921
2018,Salto de Agua,07077,Hombres,31233
2016,San Cristóbal de las Casas,07078,Hombres,100191
2017,San Cristóbal de las Casas,07078,Hombres,101605
2018,San Cristóbal de las Casas,07078,Hombres,102987
2016,San Fernando,07079,Hombres,18356
2017,San Fernando,07079,Hombres,18544
2018,San Fernando,07079,Hombres,18728
2016,Siltepec,07080,Hombres,20602
2017,Siltepec,07080,Hombres,20792
2018,Siltepec,07080,Hombres,20990
2016,Simojovel,07081,Hombres,22832
2017,Simojovel,07081,Hombres,23188
2018,Simojovel,07081,Hombres,23540
2016,Sitalá,07082,Hombres,6823
2017,Sitalá,07082,Hombres,6917
2018,Sitalá,07082,Hombres,7011
2016,Socoltenango,07083,Hombres,9441
2017,Socoltenango,07083,Hombres,9544
2018,Socoltenango,07083,Hombres,9644
2016,Solosuchiapa,07084,Hombres,4290
2017,Solosuchiapa,07084,Hombres,4324
2018,Solosuchiapa,07084,Hombres,4360
2016,Soyaló,07085,Hombres,5348
2017,Soyaló,07085,Hombres,5407
2018,Soyaló,07085,Hombres,5466
2016,Suchiapa,07086,Hombres,11824
2017,Suchiapa,07086,Hombres,11961
2018,Suchiapa,07086,Hombres,12091
2016,Suchiate,07087,Hombres,18558
2017,Suchiate,07087,Hombres,18749
2018,Suchiate,07087,Hombres,18941
2016,Sunuapa,07088,Hombres,1220
2017,Sunuapa,07088,Hombres,1230
2018,Sunuapa,07088,Hombres,1240
2016,Tapachula,07089,Hombres,173538
2017,Tapachula,07089,Hombres,175613
2018,Tapachula,07089,Hombres,177585
2016,Tapalapa,07090,Hombres,2135
2017,Tapalapa,07090,Hombres,2154
2018,Tapalapa,07090,Hombres,2174
2016,Tapilula,07091,Hombres,6979
2017,Tapilula,07091,Hombres,7077
2018,Tapilula,07091,Hombres,7169
2016,Tecpatán,07092,Hombres,22298
2017,Tecpatán,07092,Hombres,22527
2018,Tecpatán,07092,Hombres,22755
2016,Tenejapa,07093,Hombres,21020
2017,Tenejapa,07093,Hombres,21252
2018,Tenejapa,07093,Hombres,21498
2016,Teopisca,07094,Hombres,20439
2017,Teopisca,07094,Hombres,20720
2018,Teopisca,07094,Hombres,20999
2016,Tila,07096,Hombres,39186
2017,Tila,07096,Hombres,39621
2018,Tila,07096,Hombres,40058
2016,Tonalá,07097,Hombres,45435
2017,Tonalá,07097,Hombres,45802
2018,Tonalá,07097,Hombres,46158
2016,Totolapa,07098,Hombres,3501
2017,Totolapa,07098,Hombres,3541
2018,Totolapa,07098,Hombres,3580
2016,La Trinitaria,07099,Hombres,41333
2017,La Trinitaria,07099,Hombres,41890
2018,La Trinitaria,07099,Hombres,42409
2016,Tumbalá,07100,Hombres,16862
2017,Tumbalá,07100,Hombres,17037
2018,Tumbalá,07100,Hombres,17215
2016,Tuxtla Gutiérrez,07101,Hombres,296171
2017,Tuxtla Gutiérrez,07101,Hombres,299770
2018,Tuxtla Gutiérrez,07101,Hombres,303190
2016,Tuxtla Chico,07102,Hombres,20369
2017,Tuxtla Chico,07102,Hombres,20572
2018,Tuxtla Chico,07102,Hombres,20767
2016,Tuzantán,07103,Hombres,15599
2017,Tuzantán,07103,Hombres,15776
2018,Tuzantán,07103,Hombres,15945
2016,Tzimol,07104,Hombres,7605
2017,Tzimol,07104,Hombres,7683
2018,Tzimol,07104,Hombres,7757
2016,Unión Juárez,07105,Hombres,7355
2017,Unión Juárez,07105,Hombres,7416
2018,Unión Juárez,07105,Hombres,7477
2016,Venustiano Carranza,07106,Hombres,33273
2017,Venustiano Carranza,07106,Hombres,33568
2018,Venustiano Carranza,07106,Hombres,33859
2016,Villa Corzo,07107,Hombres,40490
2017,Villa Corzo,07107,Hombres,40904
2018,Villa Corzo,07107,Hombres,41306
2016,Villaflores,07108,Hombres,52630
2017,Villaflores,07108,Hombres,53107
2018,Villaflores,07108,Hombres,53577
2016,Yajalón,07109,Hombres,18067
2017,Yajalón,07109,Hombres,18269
2018,Yajalón,07109,Hombres,18472
2016,San Lucas,07110,Hombres,3754
2017,San Lucas,07110,Hombres,3793
2018,San Lucas,07110,Hombres,3831
2016,Zinacantán,07111,Hombres,19375
2017,Zinacantán,07111,Hombres,19670
2018,Zinacantán,07111,Hombres,19966
2016,San Juan Cancuc,07112,Hombres,15438
2017,San Juan Cancuc,07112,Hombres,15631
2018,San Juan Cancuc,07112,Hombres,15832
2016,Aldama,07113,Hombres,2500
2017,Aldama,07113,Hombres,2525
2018,Aldama,07113,Hombres,2553
2016,Benemérito de las Américas,07114,Hombres,9635
2017,Benemérito de las Américas,07114,Hombres,9753
2018,Benemérito de las Américas,07114,Hombres,9872
2016,Maravilla Tenejapa,07115,Hombres,6182
2017,Maravilla Tenejapa,07115,Hombres,6245
2018,Maravilla Tenejapa,07115,Hombres,6312
2016,Marqués de Comillas,07116,Hombres,5531
2017,Marqués de Comillas,07116,Hombres,5600
2018,Marqués de Comillas,07116,Hombres,5671
2016,Montecristo de Guerrero,07117,Hombres,3705
2017,Montecristo de Guerrero,07117,Hombres,3742
2018,Montecristo de Guerrero,07117,Hombres,3780
2016,San Andrés Duraznal,07118,Hombres,2716
2017,San Andrés Duraznal,07118,Hombres,2769
2018,San Andrés Duraznal,07118,Hombres,2819
2016,Santiago el Pinar,07119,Hombres,1783
2017,Santiago el Pinar,07119,Hombres,1811
2018,Santiago el Pinar,07119,Hombres,1839
2016,Ahumada,08001,Hombres,6075
2017,Ahumada,08001,Hombres,6110
2018,Ahumada,08001,Hombres,6148
2016,Aldama,08002,Hombres,12459
2017,Aldama,08002,Hombres,12582
2018,Aldama,08002,Hombres,12696
2016,Allende,08003,Hombres,4489
2017,Allende,08003,Hombres,4501
2018,Allende,08003,Hombres,4512
2016,Aquiles Serdán,08004,Hombres,8187
2017,Aquiles Serdán,08004,Hombres,8331
2018,Aquiles Serdán,08004,Hombres,8452
2016,Ascensión,08005,Hombres,13232
2017,Ascensión,08005,Hombres,13350
2018,Ascensión,08005,Hombres,13467
2016,Bachíniva,08006,Hombres,3259
2017,Bachíniva,08006,Hombres,3267
2018,Bachíniva,08006,Hombres,3274
2016,Balleza,08007,Hombres,9765
2017,Balleza,08007,Hombres,9854
2018,Balleza,08007,Hombres,9942
2016,Batopilas,08008,Hombres,7879
2017,Batopilas,08008,Hombres,7956
2018,Batopilas,08008,Hombres,8036
2016,Bocoyna,08009,Hombres,14788
2017,Bocoyna,08009,Hombres,14898
2018,Bocoyna,08009,Hombres,15015
2016,Buenaventura,08010,Hombres,12388
2017,Buenaventura,08010,Hombres,12492
2018,Buenaventura,08010,Hombres,12591
2016,Camargo,08011,Hombres,25893
2017,Camargo,08011,Hombres,26088
2018,Camargo,08011,Hombres,26277
2016,Carichí,08012,Hombres,4702
2017,Carichí,08012,Hombres,4737
2018,Carichí,08012,Hombres,4773
2016,Casas Grandes,08013,Hombres,6329
2017,Casas Grandes,08013,Hombres,6397
2018,Casas Grandes,08013,Hombres,6456
2016,Coronado,08014,Hombres,1305
2017,Coronado,08014,Hombres,1313
2018,Coronado,08014,Hombres,1320
2016,Coyame del Sotol,08015,Hombres,1036
2017,Coyame del Sotol,08015,Hombres,1040
2018,Coyame del Sotol,08015,Hombres,1044
2016,La Cruz,08016,Hombres,2284
2017,La Cruz,08016,Hombres,2302
2018,La Cruz,08016,Hombres,2318
2016,Cuauhtémoc,08017,Hombres,86877
2017,Cuauhtémoc,08017,Hombres,87927
2018,Cuauhtémoc,08017,Hombres,88906
2016,Cusihuiriachi,08018,Hombres,3135
2017,Cusihuiriachi,08018,Hombres,3155
2018,Cusihuiriachi,08018,Hombres,3172
2016,Chihuahua,08019,Hombres,445040
2017,Chihuahua,08019,Hombres,449518
2018,Chihuahua,08019,Hombres,453705
2016,Chínipas,08020,Hombres,4953
2017,Chínipas,08020,Hombres,5003
2018,Chínipas,08020,Hombres,5052
2016,Delicias,08021,Hombres,75428
2017,Delicias,08021,Hombres,76132
2018,Delicias,08021,Hombres,76792
2016,Dr. Belisario Domínguez,08022,Hombres,1598
2017,Dr. Belisario Domínguez,08022,Hombres,1593
2018,Dr. Belisario Domínguez,08022,Hombres,1587
2016,Galeana,08023,Hombres,3887
2017,Galeana,08023,Hombres,3970
