ID,sexo,año,pob
01004,Mujer,2007,9786
01004,Mujer,2008,11328
01004,Mujer,2009,12879
01004,Mujer,2010,14546
01004,Mujer,2011,13239
01004,Mujer,2012,11925
01004,Mujer,2013,10619
01004,Mujer,2014,9305
01004,Mujer,2015,8025
01005,Hombre,1990,20780
01005,Hombre,1991,21718
01005,Hombre,1992,22672
01005,Hombre,1993,23611
01005,Hombre,1994,24564
01005,Hombre,1995,25517
01005,Hombre,1996,26461
01005,Hombre,1997,27413
01005,Hombre,1998,28353
01005,Hombre,1999,29308
01005,Hombre,2000,30389
01005,Hombre,2001,32359
01005,Hombre,2002,34402
01005,Hombre,2003,36441
01005,Hombre,2004,38484
01005,Hombre,2005,40560
01005,Hombre,2006,52018
01005,Hombre,2007,63643
01005,Hombre,2008,75251
01005,Hombre,2009,86876
01005,Hombre,2010,98644
01005,Hombre,2011,90738
01005,Hombre,2012,83025
01005,Hombre,2013,75309
01005,Hombre,2014,67596
01005,Hombre,2015,60135
01005,Mujer,1990,21190
01005,Mujer,1991,22365
01005,Mujer,1992,23571
01005,Mujer,1993,24787
01005,Mujer,1994,25996
01005,Mujer,1995,27203
01005,Mujer,1996,28403
01005,Mujer,1997,29613
01005,Mujer,1998,30828
01005,Mujer,1999,32033
01005,Mujer,2000,33495
01005,Mujer,2001,35316
01005,Mujer,2002,37150
01005,Mujer,2003,39001
01005,Mujer,2004,40835
01005,Mujer,2005,42790
01005,Mujer,2006,54453
01005,Mujer,2007,66255
01005,Mujer,2008,78051
01005,Mujer,2009,89853
01005,Mujer,2010,101656
01005,Mujer,2011,93332
01005,Mujer,2012,85006
01005,Mujer,2013,76682
01005,Mujer,2014,68356
01005,Mujer,2015,60270
01006,Hombre,1990,12680
01006,Hombre,1991,12980
01006,Hombre,1992,13331
01006,Hombre,1993,13696
01006,Hombre,1994,14053
01006,Hombre,1995,14412
01006,Hombre,1996,14771
01006,Hombre,1997,15129
01006,Hombre,1998,15493
01006,Hombre,1999,15843
01006,Hombre,2000,16401
01006,Hombre,2001,16763
01006,Hombre,2002,17219
01006,Hombre,2003,17679
01006,Hombre,2004,18135
01006,Hombre,2005,18680
01006,Hombre,2006,22654
01006,Hombre,2007,26633
01006,Hombre,2008,30617
01006,Hombre,2009,34596
01006,Hombre,2010,38724
01006,Hombre,2011,35481
01006,Hombre,2012,32222
01006,Hombre,2013,28972
01006,Hombre,2014,25713
01006,Hombre,2015,22490
01006,Mujer,1990,13710
01006,Mujer,1991,14051
01006,Mujer,1992,14435
01006,Mujer,1993,14815
01006,Mujer,1994,15195
01006,Mujer,1995,15573
01006,Mujer,1996,15958
01006,Mujer,1997,16343
01006,Mujer,1998,16718
01006,Mujer,1999,17097
01006,Mujer,2000,17722
01006,Mujer,2001,18088
01006,Mujer,2002,18463
01006,Mujer,2003,18829
01006,Mujer,2004,19204
01006,Mujer,2005,19680
01006,Mujer,2006,24089
01006,Mujer,2007,28634
01006,Mujer,2008,33162
01006,Mujer,2009,37707
01006,Mujer,2010,42236
01006,Mujer,2011,38573
01006,Mujer,2012,34902
01006,Mujer,2013,31229
01006,Mujer,2014,27558
01006,Mujer,2015,23983
01007,Hombre,1990,16740
01007,Hombre,1991,17099
01007,Hombre,1992,17468
01007,Hombre,1993,17847
01007,Hombre,1994,18212
01007,Hombre,1995,18587
01007,Hombre,1996,18955
01007,Hombre,1997,19321
01007,Hombre,1998,19699
01007,Hombre,1999,20067
01007,Hombre,2000,20567
01007,Hombre,2001,20878
01007,Hombre,2002,21241
01007,Hombre,2003,21601
01007,Hombre,2004,21964
01007,Hombre,2005,22340
01007,Hombre,2006,27389
01007,Hombre,2007,32493
01007,Hombre,2008,37619
01007,Hombre,2009,42723
01007,Hombre,2010,48152
01007,Hombre,2011,43771
01007,Hombre,2012,39483
01007,Hombre,2013,35181
01007,Hombre,2014,30893
01007,Hombre,2015,26693
01007,Mujer,1990,16460
01007,Mujer,1991,16793
01007,Mujer,1992,17247
01007,Mujer,1993,17698
01007,Mujer,1994,18146
01007,Mujer,1995,18596
01007,Mujer,1996,19051
01007,Mujer,1997,19502
01007,Mujer,1998,19950
01007,Mujer,1999,20401
01007,Mujer,2000,20934
01007,Mujer,2001,21277
01007,Mujer,2002,21741
01007,Mujer,2003,22199
01007,Mujer,2004,22663
01007,Mujer,2005,23230
01007,Mujer,2006,28227
01007,Mujer,2007,33278
01007,Mujer,2008,38342
01007,Mujer,2009,43393
01007,Mujer,2010,48772
01007,Mujer,2011,44441
01007,Mujer,2012,40101
01007,Mujer,2013,35767
01007,Mujer,2014,31427
01007,Mujer,2015,27173
01008,Hombre,1990,3340
01008,Hombre,1991,3318
01008,Hombre,1992,3309
01008,Hombre,1993,3299
01008,Hombre,1994,3284
01008,Hombre,1995,3271
01008,Hombre,1996,3266
01008,Hombre,1997,3251
01008,Hombre,1998,3241
01008,Hombre,1999,3232
01008,Hombre,2000,3468
01008,Hombre,2001,3460
01008,Hombre,2002,3605
01008,Hombre,2003,3744
01008,Hombre,2004,3889
01008,Hombre,2005,4030
01008,Hombre,2006,4522
01008,Hombre,2007,5023
01008,Hombre,2008,5535
01008,Hombre,2009,6036
01008,Hombre,2010,6894
01008,Hombre,2011,6343
01008,Hombre,2012,5826
01008,Hombre,2013,5299
01008,Hombre,2014,4782
01008,Hombre,2015,4276
01008,Mujer,1990,3170
01008,Mujer,1991,3178
01008,Mujer,1992,3211
01008,Mujer,1993,3251
01008,Mujer,1994,3289
01008,Mujer,1995,3327
01008,Mujer,1996,3361
01008,Mujer,1997,3396
01008,Mujer,1998,3439
01008,Mujer,1999,3475
01008,Mujer,2000,3778
01008,Mujer,2001,3738
01008,Mujer,2002,3883
01008,Mujer,2003,4039
01008,Mujer,2004,4184
01008,Mujer,2005,4350
01008,Mujer,2006,4886
01008,Mujer,2007,5425
01008,Mujer,2008,5959
01008,Mujer,2009,6498
01008,Mujer,2010,7434
01008,Mujer,2011,6861
01008,Mujer,2012,6295
01008,Mujer,2013,5726
01008,Mujer,2014,5160
01008,Mujer,2015,4620
01009,Hombre,1990,7620
01009,Hombre,1991,7582
01009,Hombre,1992,7583
01009,Hombre,1993,7579
01009,Hombre,1994,7572
01009,Hombre,1995,7565
01009,Hombre,1996,7563
01009,Hombre,1997,7559
01009,Hombre,1998,7552
01009,Hombre,1999,7550
01009,Hombre,2000,7950
01009,Hombre,2001,7857
01009,Hombre,2002,7960
01009,Hombre,2003,8065
01009,Hombre,2004,8168
01009,Hombre,2005,8310
01009,Hombre,2006,10421
01009,Hombre,2007,12593
01009,Hombre,2008,14771
01009,Hombre,2009,16943
01009,Hombre,2010,19358
01009,Hombre,2011,17502
01009,Hombre,2012,15657
01009,Hombre,2013,13809
01009,Hombre,2014,11964
01009,Hombre,2015,10197
01009,Mujer,1990,7440
01009,Mujer,1991,7493
01009,Mujer,1992,7580
01009,Mujer,1993,7672
01009,Mujer,1994,7765
01009,Mujer,1995,7866
01009,Mujer,1996,7949
01009,Mujer,1997,8040
01009,Mujer,1998,8134
01009,Mujer,1999,8223
01009,Mujer,2000,8529
01009,Mujer,2001,8429
01009,Mujer,2002,8433
01009,Mujer,2003,8440
01009,Mujer,2004,8444
01009,Mujer,2005,8490
01009,Mujer,2006,10818
01009,Mujer,2007,13238
01009,Mujer,2008,15664
01009,Mujer,2009,18084
01009,Mujer,2010,20738
01009,Mujer,2011,18716
01009,Mujer,2012,16689
